conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,75E+18;Sun Jan 14 08:29:48 +0000 2024;5;ikoi️ikoi ikoi ikoi ikoi ikoi ikoi ikoi ️ ikoi ikoi ‍️ ikoi roti asmara spikoe rasa enak bikin candoe iki honda satria fu ‍ taser taser taser melintir ‍ meletrek meletus nabuyye porrep pissep ;1,75E+18;;;in;;0;1;1;https://x.com/wnisekai/status/1746449522124116163;2416807057;wnisekai
1,74E+18;Sun Jan 07 09:15:05 +0000 2024;0;@18fesss tbh aku sambil keinget Nindy yg pasti nyesel bgt pernah nikah sama pulupulu cem Satria Mahathir untungnya Nindy sekarang bahagia. jadi mending run aja dari sekarang ketemu orang baru jadi first wedding km nanti bersama orang yang treat km dengan ;1,74E+18;;durumdundam;in;;0;1;0;https://x.com/durumdundam/status/1743924204741984313;1,17E+18;durumdundam
1,74E+18;Fri Jan 05 15:30:35 +0000 2024;1;ngeliat vidio nindy ngetawain si satria ditahan puas bgt anjgg;1,74E+18;;;in;;0;0;0;https://x.com/devitsides/status/1743293925513990200;1,53E+18;devitsides
1,72E+18;Tue Nov 14 01:42:56 +0000 2023;0;@yoursunrise91 @undipmenfess sbnrnya banyakk lagi cuma aku ceritain sgtu dlu. aku jg gatau makin ksini kan warga tt bertambah. yg diliat ya satria yg cakep itu dia ga liat satria pas sama nindy. soalnya jrg bgt mereka ada yg ungkit masalah nindy. brrti em;1,72E+18;;dreafhsaa;in;caratland;0;1;0;https://x.com/dreafhsaa/status/1724241470880616603;1,60E+18;dreafhsaa
1,72E+18;Mon Nov 13 15:16:28 +0000 2023;0;ternyata satria ganyesel selingkuh pas nindy hamil &amp;;;;;;;;;;;
1,72E+18;Mon Nov 13 12:58:24 +0000 2023;0;@madebyshunda Wkwk tambah ngakak lagi di vt2 tiktok nge tag nya nindy mantan satria;1,72E+18;;madebyshunda;in;;0;0;0;https://x.com/spontan02/status/1724049072154439752;1,54E+18;spontan02
1,72E+18;Mon Nov 13 11:42:57 +0000 2023;0;di kantor ada yg cosplay jadi satria pls ngakak bat cok dipikir pikir si nindy kuat jg ye skrg;1,72E+18;;;in;;0;0;0;https://x.com/highkeyharoldd/status/1724030081482506462;7,14E+17;highkeyharoldd
1,72E+18;Mon Nov 13 03:05:44 +0000 2023;1;@chco_cheese @BarengApp @lgabyt Seriusss dia blg gini. Yuk check-in keluar dalem. Nnt klo kamu hamil aku nikahin biar kyk satria-nindy Langsung kabur lah guee. Gila serem banget njir. Waktu itu gue msh kls 11 tp dia udh kuliah semester 4. Sumpah ga ada ot;1,72E+18;https://pbs.twimg.com/media/F-yF1lPbcAAWZe-.jpg;charging_soul;in;Jakarta Selatan;0;2;0;https://x.com/rosescenic/status/1723899921357852787;1,32E+18;rosescenic
1,72E+18;Mon Nov 13 02:16:32 +0000 2023;0;cuy gw barusan bgt tau kalo si satria mahkentir itu satrianya nindy yg dulu gw ikutin bgt kasusnya terakhir beritanya tuh si satrianjing itu abusive ke nindy makanya udh gak respect blas LHA KOK MUNCOL MANEH;1,72E+18;;;in;;0;1;0;https://x.com/bebeqbelur/status/1723887540493791681;1,57E+18;bebeqbelur
1,72E+18;Sun Nov 12 11:38:43 +0000 2023;0;Ni aku baru bgt inget klo bocah satu ni kan yg sm mbak nindy itu. Mmg awalnya pas mreka nikah tu banyak yg mewanti2 klo satria ni keknya cuma ngincer hartanya ceweknya. Seingetku jg ni cowo ngehamilin ceweknya biar bs ngincer hartanya goks sih ni dulu kan nikah umur 16th kan?;1,72E+18;;;in;di dlm benakmu xixixi;0;0;0;https://x.com/tacharannie/status/1723666630864142531;1,53E+18;tacharannie
1,72E+18;Sun Nov 12 11:06:57 +0000 2023;1;Gw benet2 masih bingung knp satria mahathir bs pull cewe SECAKEP nindy dengan bentukan kek gt DAN AKHLAK YG GA ADA;1,72E+18;;;in;;0;1;0;https://x.com/independine/status/1723658636524920869;1,16E+18;independine
